"TABLE 1","","","","",""
"#","R.","Nome","Squadra","FVM","Quot ."
"# 22","C ( W , T )","Aramu","Genoa","9 ( 10 )","4 ( 4 )"
"# 23","C ( C )","Jagiello","Genoa","5 ( 4 )","3 ( 3 )"
"# 24","C ( C )","Melegoni","Genoa","1 ( 1 )","1 ( 1 )"
"# 25","A ( Pc )","Retegui","Genoa","158 ( 148 )","23 ( 23 )"
"# 26","A ( A )","Ekuban","Genoa","2 ( 2 )","2 ( 2 )"
"# 27","A ( Pc )","Puscas","Genoa","2 ( 1 )","2 ( 1 )"
"# 28","A ( Pc )","Yalcin","Genoa","1 ( 1 )","1 ( 1 )"
"Inter","","","","",""
"# 1","P ( Por )","Sommer","Inter","67 ( 67 )","16 ( 16 )"
"# 2","P ( Por )","Audero","Inter","1 ( 1 )","1 ( 1 )"
"# 3","P ( Por )","Di Gennaro","Inter","1 ( 1 )","1 ( 1 )"
"","","","","",""
"TABLE 3","","","","",""
"","","","","",""
"# 13","C ( C )","Barella","Inter","86 ( 86 )","20 ( 20 )"
"# 14","C ( C )","Frattesi","Inter","79 ( 79 )","17 ( 17 )"
"# 15","C ( M , C )","Calhanoglu","Inter","51 ( 72 )","16 ( 18 )"
"# 16","C ( C , T )","Mkhitaryan","Inter","42 ( 42 )","13 ( 13 )"
"# 17","C ( C , T )","Sensi","Inter","10 ( 10 )","6 ( 6 )"
"# 18","C ( M , C )","Asllani","Inter","8 ( 10 )","4 ( 4 )"
"# 19","A ( Pc )","Martinez L.","Inter","405 ( 400 )","39 ( 39 )"
"# 20","A ( Pc )","Arnautovic","Inter","165 ( 152 )","23 ( 23 )"
"# 21","A ( Pc )","Thuram","Inter","140 ( 125 )","23 ( 23 )"
"# 22","A ( A )","Sanchez","Inter","44 ( 44 )","15 ( 15 )"
"# 23","A ( Pc )","Esposito","Inter","6 ( 6 )","3 ( 3 )"
"Juventus","","","","",""
"1","P ( Por )","Szczesny","Juventus","71 ( 71 )","15 ( 15 )"
"# 2","P ( Por )","Perin","Juventus","5 ( 5 )","2 ( 2 )"
"# 3","P ( Por )","Pinsoglio","Juventus","1 ( 1 )","1 ( 1 )"
"# 4","D ( Dd , Ds , Dc )","Danilo","Juventus","44 ( 58 )","15 ( 18 )"
"# 5","D ( DC )","Bremer","Juventus","48 ( 48 )","13 ( 13 )"
"# 6","D ( Ds , Dc )","Alex Sandro","Juventus","12 ( 16 )","6 ( 7 )"
"** # 7","D ( Dd , Ds , E )","Cambiaso","Juventus","22 ( 27 )","6 ( 7 )"
"# # 8","D ( DC )","Gatti","Juventus","12 ( 12 )","6 ( 6 )"
"# 9","D ( DC )","Bonucci","Juventus","5 ( 5 )","4 ( 4 )"
"# 10","D ( Dd , Ds , E )","De Sciglio","Juventus","6 ( 6 )","3 ( 3 )"
"# 11","D ( DC )","Rugani","Juventus","6 ( 6 )","3 ( 3 )"
"# 12","D ( DC )","Huijsen","Juventus","1 ( 1 )","1 ( 1 )"
"# 13","C ( C )","Rabiot","Juventus","103 ( 103 )","22 ( 22 )"
"# 14","C ( E , W )","Kostic","Juventus","30 ( 25 )","14 ( 14 )"
"# 15","C ( C , T )","Fagioli","Juventus","30 ( 30 )","13 ( 13 )"
"# 16","C ( C.T )","Pogba","Juventus","28 ( 28 )","12 ( 12 )"
"# 17","C ( M , C )","Locatelli","Juventus","29 ( 32 )","11 ( 12 )"
"# 18","C ( E , W )","Weah","Juventus","32 ( 38 )","10 ( 10 )"
"# 19","C ( C )","Mckennie","Juventus","11 ( 11 )","8 ( 7 )"
"# 20","C ( W )","lling Junior","Juventus","12 ( 12 )","6 ( 5 )"
"# 21","C ( C , T )","Miretti","Juventus","11 ( 11 )","5 ( 5 )"
"# 22","C ( M , C )","Nicolussi Caviglia","Juventus","2 ( 2 )","2 ( 2 )"
"# 23","A ( Pc )","Vlahovic","Juventus","360 ( 350 )","30 ( 30 )"
"# 24","A ( A )","Chiesa","Juventus","125 ( 130 )","18 ( 18 )"
"# 25","A ( Pc )","Milik","Juventus","95 ( 82 )","18 ( 17 )"
"# 26","A ( Pc )","Kean","Juventus","20 ( 17 )","10 ( 9 )"
"# 27","A ( Pc )","Kaio Jorge","Juventus","2 ( 2 )","1 ( 1 )"
"# 28","A ( A )","Yildiz","Juventus","1 ( 1 )","1 ( 1 )"
"Lazio","","","","",""
