,Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,Prezzo,Kap.,350K (8),350K (10),500K (8),500K (10),Titolarita,Bonus,Nome2
150,Zortea-Cagliari,D,Zortea,Cagliari,6.0,7.0,-1.0,7.0,8.0,-1.0,16.0,19.0,4.0,10.0,12.01,14.72,9.81,12.41,75.0,6.5,Nadir
151,Candela-Venezia,D,Candela,Venezia,6.0,5.0,1.0,6.0,5.0,1.0,8.0,8.0,0.5,8.0,,1.11,,4.06,80.0,6.5,Antonio
152,Zappa-Cagliari,D,Zappa,Cagliari,6.0,6.0,0.0,7.0,7.0,0.0,10.0,12.0,0.5,10.0,,11.34,,9.495054826306982,65.0,6.5,Gabriele
153,Zanoli-Genoa,D,Zanoli,Genoa,6.0,6.0,0.0,6.0,6.0,0.0,9.0,9.0,3.0,8.0,1.07,3.0,,0.53,65.0,6.5,Alessandro
154,Guilbert-Lecce,D,Guilbert,Lecce,6.0,5.0,1.0,7.0,6.0,1.0,8.0,11.0,0.5,10.0,,12.66,,4.41,70.0,3.5,Frédéric
155,Viti-Empoli,D,Viti,Empoli,6.0,5.0,1.0,6.0,5.0,1.0,8.0,8.0,0.5,10.0,12.27,14.68,,5.07,75.0,0.0,Mattia
156,Schuurs-Torino,D,Schuurs,Torino,6.0,7.0,-1.0,6.0,7.0,-1.0,10.0,10.0,0.5,12.0,16.6,19.3,,12.573700058985267,80.0,1.0,Perr
157,Pedersen-Torino,D,Pedersen,Torino,6.0,6.0,0.0,5.0,5.0,0.0,12.0,10.0,0.5,7.0,,1.26,,5.690380311034907,60.0,3.0,Marcus
158,Giannetti-Udinese,D,Giannetti L.,Udinese,6.0,4.0,2.0,6.0,4.0,2.0,14.0,14.0,0.5,11.0,12.63,15.69,11.03,14.76,65.0,0.0,Lautaro
159,Frese-Verona,D,Frese,Verona,6.0,5.0,1.0,6.0,5.0,1.0,11.0,11.0,0.5,10.0,12.06,14.72,,5.09,70.0,6.0,Martin
160,Circati-Parma,D,Circati,Parma,6.0,5.0,1.0,6.0,5.0,1.0,8.0,8.0,3.0,8.0,1.91,4.08,3.18,6.01,80.0,2.5,Alessandro
161,Brempt-Como,D,Van Der Brempt,Como,6.0,5.0,1.0,6.0,5.0,1.0,8.0,8.0,0.5,9.0,,,,8.11839087671691,75.0,5.5,Ignace
162,Zampano-Venezia,D,Zampano,Venezia,5.0,5.0,0.0,6.0,6.0,0.0,8.0,10.0,0.5,7.0,,3.63,,5.690380311034907,65.0,4.0,Francesco
163,Martin-Genoa,D,Martin,Genoa,5.0,4.0,1.0,5.0,4.0,1.0,13.0,13.0,6.0,8.0,,4.34,3.42,3.0,60.0,4.5,Aaron
164,Lazaro-Torino,D,Lazaro,Torino,5.0,4.0,1.0,5.0,4.0,1.0,8.0,7.0,0.5,9.0,1.23,4.48,1.88,6.36,65.0,5.5,Valentino
165,Augello-Cagliari,D,Augello,Cagliari,5.0,5.0,0.0,5.0,5.0,0.0,8.0,8.0,0.5,11.0,12.66,13.25,,4.85,75.0,6.5,Tommaso
166,Dawidowicz-Verona,D,Dawidowicz,Verona,5.0,5.0,0.0,5.0,5.0,0.0,7.0,7.0,0.5,9.0,,5.31,,8.74,80.0,2.5,Pawel
167,Gallo-Lecce,D,Gallo,Lecce,5.0,5.0,0.0,5.0,5.0,0.0,11.0,11.0,3.0,11.0,13.43,16.09,11.56,13.89,75.0,7.5,Antonino
168,Carboni-Monza,D,Carboni A.,Monza,5.0,5.0,0.0,6.0,6.0,0.0,8.0,9.0,0.5,7.0,2.13,7.38,,3.09,65.0,0.0,Andrea
169,Caldirola-Monza,D,Caldirola,Monza,5.0,5.0,0.0,5.0,5.0,0.0,8.0,8.0,0.5,10.0,,12.49,,5.3,70.0,5.0,Luca
170,Bradaric-Verona,D,Bradaric,Verona,5.0,5.0,0.0,5.0,5.0,0.0,8.0,8.0,0.5,8.0,,,,6.850166038292885,70.0,4.0,Domagoj
171,Daniliuc-Verona,D,Daniliuc,Verona,5.0,5.0,0.0,5.0,5.0,0.0,8.0,8.0,0.5,9.0,,,,8.11839087671691,65.0,2.5,Flavius
172,Kamara-Udinese,D,Kamara H.,Udinese,5.0,5.0,0.0,5.0,5.0,0.0,13.0,13.0,0.5,8.0,,1.58,,8.48,70.0,2.0,Hassane
173,Winter-Genoa,D,De Winter,Genoa,5.0,6.0,-1.0,5.0,6.0,-1.0,8.0,10.0,0.5,9.0,1.6,4.24,,5.34,75.0,2.5,Koni
174,Coppola-Verona,D,Coppola D.,Verona,5.0,4.0,1.0,5.0,4.0,1.0,8.0,8.0,0.5,8.0,2.58,4.69,,6.14,70.0,3.5,Diego
175,Birindelli-Monza,D,Birindelli,Monza,5.0,5.0,0.0,5.0,5.0,0.0,8.0,9.0,0.5,8.0,,2.22,,8.48,60.0,3.0,Samuele
176,Kayode-Fiorentina,D,Kayode,Fiorentina,5.0,5.0,0.0,6.0,6.0,0.0,8.0,10.0,0.5,10.0,,12.27,9.42,9.495054826306982,65.0,4.0,Michael
177,Vogliacco-Genoa,D,Vogliacco,Genoa,5.0,2.0,3.0,5.0,2.0,3.0,4.0,4.0,0.5,10.0,11.05,11.15,9.42,14.57,60.0,0.0,Alessandro
178,Delprato-Parma,D,Delprato,Parma,5.0,6.0,-1.0,6.0,7.0,-1.0,14.0,16.0,3.0,1.0,,,,1.0088872819740327,,,
179,Idzes-Venezia,D,Idzes,Venezia,5.0,4.0,1.0,5.0,4.0,1.0,9.0,9.0,3.0,8.0,,3.41,,5.84,75.0,2.5,Jay
180,Sverko-Venezia,D,Sverko,Venezia,5.0,4.0,1.0,6.0,5.0,1.0,9.0,12.0,0.5,7.0,,4.09,,6.18,75.0,0.0,Marin
181,Abdulhamid-Roma,D,Abdulhamid,Roma,5.0,5.0,0.0,5.0,5.0,0.0,12.0,12.0,0.5,10.0,,10.55,,9.495054826306982,55.0,3.5,Saud
182,Jesus-Napoli,D,Juan Jesus,Napoli,4.0,5.0,-1.0,4.0,5.0,-1.0,6.0,6.0,0.5,6.0,,,,6.36,65.0,0.0,Juan
183,Patric-Lazio,D,Patric,Lazio,4.0,5.0,-1.0,4.0,5.0,-1.0,10.0,12.0,0.5,9.0,,9.5,,9.54,65.0,1.0,-
184,Toloi-Atalanta,D,Toloi,Atalanta,4.0,4.0,0.0,4.0,4.0,0.0,9.0,9.0,0.5,6.0,,0.7,,7.42,70.0,4.5,Rafael
185,Cuadrado-Atalanta,D,Cuadrado,Atalanta,4.0,4.0,0.0,4.0,4.0,0.0,9.0,8.0,0.5,12.0,,13.51,12.01,37.1,60.0,6.5,Juan
186,Lykogiannis-Bologna,D,Lykogiannis,Bologna,4.0,4.0,0.0,4.0,4.0,0.0,12.0,12.0,0.5,8.0,,3.6,,9.01,55.0,4.5,Charalampos
187,Kabasele-Udinese,D,Kabasele,Udinese,4.0,3.0,1.0,4.0,3.0,1.0,4.0,4.0,0.5,6.0,,3.27,,4.639033694942977,60.0,2.5,Christian
188,Walukiewicz-Torino,D,Walukiewicz,Torino,4.0,4.0,0.0,4.0,4.0,0.0,6.0,6.0,0.5,8.0,,6.86,,0.5,70.0,0.0,Sebastian
189,Celik-Roma,D,Celik,Roma,4.0,3.0,1.0,4.0,3.0,1.0,12.0,12.0,0.5,8.0,5.35,5.65,,2.37,65.0,5.5,Zeki
190,Osorio-Parma,D,Osorio,Parma,4.0,4.0,0.0,4.0,4.0,0.0,6.0,6.0,0.5,7.0,,0.84,,0.96,65.0,2.5,Yordan
191,Mazzocchi-Napoli,D,Mazzocchi,Napoli,4.0,4.0,0.0,4.0,4.0,0.0,12.0,12.0,0.5,8.0,1.52,6.57,1.18,2.44,60.0,6.5,Pasquale
192,Svoboda-Venezia,D,Svoboda,Venezia,4.0,4.0,0.0,4.0,4.0,0.0,8.0,8.0,0.5,3.0,,2.65,,2.65,60.0,2.5,Michael
193,Gila-Lazio,D,Gila,Lazio,4.0,5.0,-1.0,4.0,5.0,-1.0,11.0,11.0,0.5,8.0,2.01,4.57,1.23,6.89,70.0,2.5,Mario
194,Bisseck-Inter,D,Bisseck,Inter,4.0,5.0,-1.0,4.0,5.0,-1.0,11.0,11.0,3.0,7.0,2.97,3.13,2.67,8.52,55.0,3.5,Yann Aurel
195,Azzi-Cagliari,D,Azzi,Cagliari,4.0,4.0,0.0,5.0,5.0,0.0,7.0,8.0,0.5,6.0,,4.43,,4.639033694942977,55.0,3.5,Paulo
196,Kristensen-Udinese,D,Kristensen T.,Udinese,4.0,5.0,-1.0,4.0,5.0,-1.0,8.0,8.0,0.5,8.0,,11.4,,2.68,70.0,2.5,Thomas
197,Gaspar-Lecce,D,Gaspar K.,Lecce,4.0,3.0,1.0,4.0,3.0,1.0,12.0,12.0,0.5,9.0,4.65,5.45,2.32,6.97,70.0,1.0,Kialonda
198,Coulibaly-Parma,D,Coulibaly W.,Parma,4.0,2.0,2.0,4.0,2.0,2.0,16.0,16.0,0.5,6.0,2.46,3.09,,4.14,65.0,0.0,Woyo
199,Savona-Juventus,D,Savona,Juventus,4.0,1.0,3.0,4.0,1.0,3.0,14.0,14.0,0.5,5.0,7.55,7.81,4.82,4.62,10.0,1.0,Nicolo
200,Moreno-Fiorentina,D,Moreno M.,Fiorentina,4.0,4.0,0.0,4.0,4.0,0.0,8.0,8.0,0.5,6.0,,2.53,,4.639033694942977,55.0,0.0,Matías
201,Kempf-Como,D,Kempf,Como,4.0,3.0,1.0,4.0,3.0,1.0,8.0,8.0,0.5,6.0,,7.6,,2.91,60.0,0.0,Marc
202,Hysaj-Lazio,D,Hysaj,Lazio,3.0,4.0,-1.0,4.0,5.0,-1.0,6.0,8.0,0.5,7.0,,,,5.690380311034907,65.0,6.5,Elseid
203,Dambrosio-Monza,D,D'Ambrosio,Monza,3.0,3.0,0.0,4.0,4.0,0.0,5.0,6.0,0.5,7.0,,1.15,,5.690380311034907,80.0,6.0,D'Danilo
204,Magnani-Verona,D,Magnani,Verona,3.0,3.0,0.0,3.0,3.0,0.0,5.0,5.0,0.5,9.0,,,,9.54,65.0,2.5,Giangiacomo
205,Gabbia-Milan,D,Gabbia,Milan,3.0,4.0,-1.0,3.0,4.0,-1.0,9.0,9.0,0.5,6.0,,2.35,,0.48,55.0,0.0,Matteo
206,Kalulu-Juventus,D,Kalulu,Juventus,3.0,4.0,-1.0,4.0,5.0,-1.0,12.0,15.0,0.5,13.0,15.18,18.51,12.63,16.02,65.0,3.5,Pierre
207,Balogh-Parma,D,Balogh,Parma,3.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,0.5,3.0,,3.3,,0.92,50.0,0.0,Botond
208,Altare-Venezia,D,Altare,Venezia,3.0,3.0,0.0,3.0,3.0,0.0,8.0,8.0,0.5,8.0,,1.94,,7.77,75.0,2.5,Giorgio
209,Ebuehi-Empoli,D,Ebuehi,Empoli,3.0,4.0,-1.0,3.0,4.0,-1.0,6.0,6.0,0.5,8.0,,,,6.850166038292885,75.0,5.5,Tyronne
210,Cacace-Empoli,D,Cacace,Empoli,3.0,3.0,0.0,3.0,3.0,0.0,5.0,5.0,0.5,6.0,,0.84,,4.639033694942977,60.0,3.5,Liberato
211,Toure-Udinese,D,Toure' I.s.,Udinese,3.0,3.0,0.0,3.0,3.0,0.0,5.0,5.0,0.5,10.0,,,,9.495054826306982,75.0,2.5,Isaak
212,Thiaw-Milan,D,Thiaw,Milan,3.0,4.0,-1.0,3.0,4.0,-1.0,10.0,10.0,0.5,10.0,,10.87,,12.86,65.0,5.0,Malick
213,Zemura-Udinese,D,Zemura,Udinese,3.0,3.0,0.0,3.0,3.0,0.0,4.0,4.0,0.5,7.0,,,,5.690380311034907,70.0,2.5,Jordan
214,Wieteska-Cagliari,D,Wieteska,Cagliari,3.0,3.0,0.0,3.0,3.0,0.0,4.0,4.0,0.5,5.0,,4.22,,5.3,55.0,2.5,Mateusz
215,Iovine-Como,D,Iovine,Como,3.0,3.0,0.0,3.0,3.0,0.0,10.0,10.0,0.5,6.0,,3.33,,0.48,60.0,1.0,Alessio
216,Norton-Genoa,D,Norton-Cuffy,Genoa,3.0,4.0,-1.0,3.0,4.0,-1.0,5.0,5.0,0.5,8.0,,,,6.850166038292885,65.0,5.5,NORTON-Brooke
217,Palacios-Inter,D,Palacios T.,Inter,3.0,3.0,0.0,3.0,3.0,0.0,6.0,6.0,0.5,7.0,,8.93,,5.690380311034907,55.0,0.0,Tomas
218,Jean-Lecce,D,Jean,Lecce,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,0.5,5.0,,,,3.6961261900170936,55.0,0.0,Gaby
219,Schingtienne-Venezia,D,Schingtienne,Venezia,3.0,3.0,0.0,3.0,3.0,0.0,6.0,7.0,0.5,8.0,,,,6.850166038292885,70.0,2.5,Joël
220,Barba-Como,D,Barba,Como,2.0,1.0,1.0,2.0,1.0,1.0,7.0,7.0,0.5,5.0,,,,2.73,65.0,1.0,Federico
221,Rui-Napoli,D,Mario Rui,Napoli,2.0,3.0,-1.0,2.0,3.0,-1.0,6.0,6.0,0.5,7.0,,10.36,,0.53,40.0,4.0,Silva Duarte
222,Goldaniga-Como,D,Goldaniga,Como,2.0,3.0,-1.0,2.0,3.0,-1.0,4.0,4.0,0.5,6.0,,7.6,,3.18,60.0,2.5,Edoardo
223,Silvestri-Bologna,D,De Silvestri,Bologna,2.0,3.0,-1.0,2.0,3.0,-1.0,5.0,5.0,0.5,5.0,,,,5.3,55.0,4.5,Lorenzo
224,Faraoni-Verona,D,Faraoni,Verona,2.0,3.0,-1.0,2.0,3.0,-1.0,6.0,6.0,0.5,8.0,,0.84,,8.48,60.0,5.5,Davide
225,Bonifazi-Lecce,D,Bonifazi,Lecce,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,0.5,6.0,,,,4.639033694942977,,,Kevin
226,Pellegrini-Lazio,D,Pellegrini Lu.,Lazio,2.0,3.0,-1.0,2.0,3.0,-1.0,6.0,6.0,0.5,7.0,,,,7.42,60.0,6.5,Luca
227,Sala-Como,D,Sala M.,Como,2.0,2.0,0.0,2.0,2.0,0.0,6.0,6.0,0.5,4.0,,,,2.8616577962572576,55.0,3.5,Marco
228,Valenti-Parma,D,Valenti,Parma,2.0,3.0,-1.0,2.0,3.0,-1.0,5.0,5.0,0.5,4.0,,6.33,,2.8616577962572576,65.0,5.0,Lautaro
229,Sambia-Empoli,D,Sambia,Empoli,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,0.5,4.0,,,,2.8616577962572576,55.0,4.5,Junior
230,Carboni-Venezia,D,Carboni F.,Venezia,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,0.5,5.0,,,,3.6961261900170936,55.0,1.0,Franco Ezequiel
231,Comuzzo-Fiorentina,D,Comuzzo,Fiorentina,2.0,1.0,1.0,2.0,1.0,1.0,10.0,10.0,0.5,2.0,,1.47,,1.5,15.0,0.0,Pietro
232,Goglichidze-Empoli,D,Goglichidze,Empoli,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,2.0,,1.26,,1.76,40.0,0.0,Saba
233,Dahl-Roma,D,Dahl,Roma,2.0,3.0,-1.0,2.0,3.0,-1.0,8.0,8.0,0.5,9.0,,2.46,,0.48,60.0,1.0,Samuel
234,Sagrado-Venezia,D,Sagrado,Venezia,2.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,0.5,6.0,,,,4.639033694942977,60.0,4.5,Richie
235,Pelmard-Lecce,D,Pelmard,Lecce,2.0,3.0,-1.0,4.0,5.0,-1.0,7.0,9.0,0.5,8.0,,,,10.6,75.0,0.0,Andy
236,Dembele-Torino,D,Dembele' A.,Torino,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,0.5,2.0,,2.53,,1.518038342235727,30.0,1.0,Ali
237,Leoni-Parma,D,Leoni,Parma,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,0.5,8.0,,1.17,,6.850166038292885,60.0,2.5,Giovanni
238,Sciglio-Empoli,D,De Sciglio,Empoli,1.0,1.0,0.0,1.0,1.0,0.0,10.0,12.0,0.5,5.0,,3.11,,1.36,70.0,2.0,Mattia
239,Chiara-Parma,D,Di Chiara,Parma,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,3.8,,2.1356285136634687,45.0,0.0,Gianluca
240,Haps-Venezia,D,Haps,Venezia,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,,,,2.8616577962572576,50.0,2.0,Ridgeciano
241,Obert-Cagliari,D,Obert,Cagliari,1.0,2.0,-1.0,1.0,2.0,-1.0,3.0,3.0,0.5,4.0,,,,2.8616577962572576,60.0,0.0,Adam
242,Terracciano-Milan,D,Terracciano F.,Milan,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,,2.53,,3.53,55.0,2.0,Filippo
243,Ebosse-Udinese,D,Ebosse,Udinese,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,,1.84,,1.518038342235727,55.0,0.0,Enzo
244,Abankwah-Udinese,D,Abankwah,Udinese,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,,,
245,Matturro-Genoa,D,Matturro,Genoa,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,,2.53,,1.518038342235727,40.0,0.0,Alan
246,Okou-Verona,D,Okou,Verona,1.0,2.0,-1.0,1.0,2.0,-1.0,3.0,3.0,0.5,5.0,,1.15,,3.6961261900170936,60.0,0.0,Yllan
247,Corazza-Bologna,D,Corazza,Bologna,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,,2.53,,1.518038342235727,45.0,1.0,Tommaso
248,Sazonov-Empoli,D,Sazonov,Empoli,1.0,1.0,0.0,1.0,1.0,0.0,6.0,6.0,0.5,1.0,,,,1.0088872819740327,,,
249,Ilic-Bologna,D,Ilic M.,Bologna,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,,,,4.24,50.0,0.0,Mihajlo
250,Ghilardi-Verona,D,Ghilardi,Verona,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,3.8,,2.1356285136634687,45.0,2.5,Daniele
251,Sangare-Roma,D,Sangare' B.,Roma,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,1.0088872819740327,15.0,0.0,Buba
252,Marcandalli-Genoa,D,Marcandalli,Genoa,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,1.26,,0.44,45.0,0.0,Alessandro
253,Rouhi-Juventus,D,Rouhi,Juventus,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,,,1.0088872819740327,,,
254,Marianucci-Empoli,D,Marianucci,Empoli,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,,2.53,,1.0088872819740327,10.0,0.0,Luca
255,Palestra-Atalanta,D,Palestra,Atalanta,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,,,,2.1356285136634687,35.0,4.5,Marco
256,Pulisic-Milan,C,Pulisic,Milan,30.0,30.0,0.0,29.0,29.0,0.0,183.0,183.0,39.0,37.0,64.63,76.31,50.03,65.97,80.0,14.0,Christian
257,Calhanoglu-Inter,C,Calhanoglu,Inter,28.0,28.0,0.0,30.0,30.0,0.0,172.0,187.0,36.0,34.0,75.67,86.48,63.77,86.77,80.0,16.0,Hakan
258,Koopmeiners-Juventus,C,Koopmeiners,Juventus,27.0,29.0,-2.0,26.0,28.0,-2.0,166.0,166.0,30.0,31.0,54.01,65.2,50.79,65.99,80.0,13.0,Teun
259,Zaccagni-Lazio,C,Zaccagni,Lazio,26.0,27.0,-1.0,26.0,26.0,0.0,148.0,148.0,39.0,31.0,44.8,49.8,36.42,49.01,80.0,15.0,Mattia
260,Politano-Napoli,C,Politano,Napoli,22.0,24.0,-2.0,22.0,23.0,-1.0,64.0,64.0,12.0,27.0,41.6,44.23,26.4,31.36,70.0,12.5,Matteo
261,Barella-Inter,C,Barella,Inter,22.0,20.0,2.0,21.0,19.0,2.0,79.0,79.0,25.0,28.0,46.52,54.26,40.34,51.24,85.0,10.0,Nicolò
262,Colpani-Fiorentina,C,Colpani,Fiorentina,22.0,23.0,-1.0,20.0,22.0,-2.0,83.0,83.0,22.0,23.0,29.38,34.1,28.51,35.24,75.0,9.5,Andrea
263,Pellegrini-Roma,C,Pellegrini Lo.,Roma,21.0,22.0,-1.0,21.0,22.0,-1.0,73.0,73.0,22.0,27.0,31.72,36.09,31.52,44.37,85.0,16.0,Lorenzo
264,Orsolini-Bologna,C,Orsolini,Bologna,21.0,21.0,0.0,21.0,21.0,0.0,90.0,88.0,36.0,23.0,30.39,33.29,22.26,32.24,75.0,14.0,Riccardo
265,Man-Parma,C,Man,Parma,21.0,19.0,2.0,20.0,18.0,2.0,102.0,102.0,33.0,24.0,47.72,53.54,29.78,38.68,80.0,15.0,Dennis
266,Neres-Napoli,C,Neres,Napoli,21.0,20.0,1.0,20.0,19.0,1.0,82.0,82.0,22.0,24.0,36.4,36.96,38.59,38.55,70.0,9.0,David Campos
267,Luiz-Juventus,C,Douglas Luiz,Juventus,20.0,20.0,0.0,19.0,19.0,0.0,59.0,59.0,16.0,27.0,27.92,35.0,37.15,41.31,80.0,13.0,-
268,Frattesi-Inter,C,Frattesi,Inter,18.0,18.0,0.0,17.0,17.0,0.0,62.0,59.0,16.0,22.0,22.74,23.81,18.72,29.92,70.0,11.5,Davide
269,Loftus-Milan,C,Loftus-Cheek,Milan,18.0,19.0,-1.0,18.0,19.0,-1.0,51.0,51.0,13.0,27.0,35.81,39.66,28.83,37.01,80.0,10.5,LOFTUS-Ruben
270,Ferguson-Bologna,C,Ferguson,Bologna,17.0,18.0,-1.0,17.0,18.0,-1.0,42.0,42.0,0.5,23.0,26.02,30.86,29.71,33.59,80.0,12.0,Lewis
271,Mctominay-Napoli,C,McTominay,Napoli,16.0,16.0,0.0,19.0,19.0,0.0,57.0,70.0,15.0,25.0,35.05,43.28,35.98,44.12,80.0,8.5,Scott
272,Samardzic-Atalanta,C,Samardzic,Atalanta,16.0,17.0,-1.0,15.0,16.0,-1.0,60.0,57.0,17.0,26.0,26.93,32.97,24.85,33.85,75.0,14.0,Lazar
273,Mkhitaryan-Inter,C,Mkhitaryan,Inter,15.0,15.0,0.0,14.0,14.0,0.0,43.0,43.0,8.0,20.0,28.67,33.48,23.94,30.05,70.0,14.0,Henrikh
274,Ederson-Atalanta,C,Ederson D.s.,Atalanta,15.0,15.0,0.0,17.0,18.0,-1.0,55.0,67.0,12.0,19.0,23.65,25.16,21.51,28.67,80.0,9.0,-
275,Pasalic-Atalanta,C,Pasalic,Atalanta,14.0,15.0,-1.0,14.0,15.0,-1.0,52.0,52.0,14.0,20.0,23.88,29.77,21.99,30.0,75.0,11.5,Mario
276,Vlasic-Torino,C,Vlasic,Torino,14.0,15.0,-1.0,13.0,14.0,-1.0,41.0,39.0,3.0,20.0,22.59,28.07,16.42,22.1,80.0,13.0,Nikola
277,Fabbian-Bologna,C,Fabbian,Bologna,14.0,13.0,1.0,14.0,13.0,1.0,53.0,53.0,12.0,19.0,18.1,22.37,20.0,22.54,70.0,11.5,Giovanni
278,Bernabe-Parma,C,Bernabe',Parma,14.0,14.0,0.0,14.0,14.0,0.0,44.0,44.0,15.0,22.0,23.23,24.02,22.57,27.95,85.0,11.5,Adrian
279,Harroui-Verona,C,Harroui,Verona,13.0,13.0,0.0,13.0,13.0,0.0,34.0,36.0,6.0,16.0,18.25,22.5,15.34,19.47,65.0,5.5,Abdou
280,Suslov-Verona,C,Suslov,Verona,13.0,13.0,0.0,13.0,13.0,0.0,37.0,37.0,9.0,17.0,19.42,23.16,15.98,21.35,70.0,4.5,Tomas
281,Zaniolo-Atalanta,C,Zaniolo,Atalanta,12.0,13.0,-1.0,11.0,12.0,-1.0,28.0,28.0,10.0,19.0,23.14,28.44,25.18,30.74,70.0,11.5,Nicolò
282,Strefezza-Como,C,Strefezza,Como,12.0,12.0,0.0,12.0,11.0,1.0,32.0,30.0,18.0,17.0,18.1,18.78,24.27,26.5,80.0,12.5,Gabriel
283,Cunha-Como,C,Da Cunha,Como,12.0,12.0,0.0,12.0,12.0,0.0,32.0,30.0,8.0,16.0,18.23,18.57,21.65,23.77,80.0,10.5,Lucas
284,Reijnders-Milan,C,Reijnders,Milan,12.0,12.0,0.0,11.0,11.0,0.0,30.0,28.0,9.0,18.0,19.47,24.38,16.13,20.77,75.0,7.5,Tijjani
285,Lazovic-Verona,C,Lazovic,Verona,11.0,10.0,1.0,10.0,9.0,1.0,23.0,19.0,3.0,12.0,13.82,14.1,14.06,16.65,70.0,6.5,Darko
286,Pessina-Monza,C,Pessina,Monza,11.0,12.0,-1.0,12.0,13.0,-1.0,36.0,42.0,10.0,20.0,23.57,27.47,18.39,24.9,80.0,14.0,Matteo
287,Anguissa-Napoli,C,Zambo Anguissa,Napoli,11.0,10.0,1.0,12.0,11.0,1.0,23.0,25.0,0.5,19.0,19.34,21.13,17.77,22.54,85.0,3.5,André Zambo
288,Malinovskyi-Genoa,C,Malinovskyi,Genoa,11.0,11.0,0.0,11.0,11.0,0.0,25.0,25.0,9.0,19.0,21.82,25.69,17.89,22.17,70.0,14.0,Ruslan
289,Frendrup-Genoa,C,Frendrup,Genoa,11.0,11.0,0.0,13.0,13.0,0.0,27.0,40.0,3.0,16.0,18.0,21.5,14.83,19.65,80.0,7.0,Morten
290,Conceicao-Juventus,C,Conceicao,Juventus,11.0,11.0,0.0,10.0,10.0,0.0,24.0,22.0,0.5,20.0,20.43,22.71,21.55,29.9,65.0,6.5,Fernandes Francisco
291,Zielinski-Inter,C,Zielinski,Inter,10.0,11.0,-1.0,10.0,11.0,-1.0,25.0,25.0,3.0,19.0,19.02,19.81,22.51,22.08,70.0,14.0,Piotr
292,Cristante-Roma,C,Cristante,Roma,10.0,9.0,1.0,11.0,10.0,1.0,20.0,22.0,0.5,16.0,18.39,22.37,17.84,20.86,75.0,5.5,Bryan
293,Freuler-Bologna,C,Freuler,Bologna,10.0,9.0,1.0,11.0,10.0,1.0,19.0,22.0,0.5,16.0,18.09,22.39,22.01,24.12,80.0,8.0,Remo
294,Fagioli-Juventus,C,Fagioli,Juventus,10.0,10.0,0.0,9.0,9.0,0.0,18.0,18.0,0.5,16.0,18.04,22.53,14.36,19.03,65.0,9.0,Nicolo
295,Chukwueze-Milan,C,Chukwueze,Milan,10.0,11.0,-1.0,9.0,10.0,-1.0,35.0,35.0,14.0,17.0,25.2,28.34,22.38,26.73,70.0,8.0,Samuel
296,Maldini-Monza,C,Maldini,Monza,10.0,9.0,1.0,9.0,8.0,1.0,29.0,29.0,14.0,17.0,19.24,23.1,19.03,21.91,75.0,9.0,Daniel
297,Messias-Genoa,C,Messias,Genoa,10.0,9.0,1.0,10.0,9.0,1.0,27.0,25.0,6.0,16.0,18.47,19.31,14.41,22.93,70.0,9.0,Junior
298,Thuram-Juventus,C,Thuram K.,Juventus,10.0,10.0,0.0,12.0,12.0,0.0,25.0,30.0,3.0,16.0,24.42,28.66,14.69,23.73,70.0,0.0,Khéphren
299,Ndoye-Bologna,C,Ndoye,Bologna,10.0,10.0,0.0,9.0,9.0,0.0,24.0,22.0,3.0,14.0,16.54,19.88,12.36,16.91,70.0,8.0,Dan
300,Aebischer-Bologna,C,Aebischer,Bologna,10.0,10.0,0.0,10.0,10.0,0.0,20.0,20.0,0.5,14.0,17.41,20.88,13.77,16.67,70.0,6.0,Michel
